trial,case,caught,terminal_hand_error_mm,ekf_pred_error_mm,launch_vel_x,launch_vel_y,launch_vel_z
1,Case 1: Static Catch,False,328.56,33.25,0.0,0.0,-0.4
2,Case 2: Dynamic Catch #1,False,257.12,159.15,-3.92,0.07,2.26
3,Case 2: Dynamic Catch #2,False,307.83,151.52,-3.6,-0.08,2.38
4,Case 2: Dynamic Catch #3,False,758.17,441.36,-3.53,-0.04,1.61
5,Case 2: Dynamic Catch #4,False,464.23,184.43,-3.79,-0.03,1.85
6,Case 2: Dynamic Catch #5,False,799.22,500.3,-3.12,0.0,1.78
7,Case 2: Dynamic Catch #6,False,590.26,284.63,-3.63,-0.04,1.8
8,Case 2: Dynamic Catch #7,False,840.07,532.07,-3.05,-0.09,1.78
9,Case 2: Dynamic Catch #8,False,466.16,161.67,-3.1,0.0,2.44
10,Case 2: Dynamic Catch #9,False,592.02,283.94,-3.93,0.04,1.52
